nombreequipo,nombrejugador,preciojugador,fechanacimiento,edad,nacionalidad,altura,posicion,partidosjugados,valoracionpromedio,totalgoles,totalpasesgol,totalgolesrecibidos,porteriaimbatida,minutosjugados
Manchester City,Ederson,56,17/08/1993,27,Brasil,1.88,Portero,308,218,0,0,252,146,27.407'
Manchester City,Zack Steffen,6,02/04/1995,26,Estados Unidos,1.91,Portero,135,153,0,0,187,38,12.240'
Manchester City,Scott Carson,0.5,03/09/1985,35,Inglaterra,1.88,Portero,520,144,0,0,657,153,46.770'
Manchester City,Rúben Dias,70,14/05/1997,23,Portugal,1.87,Defensa central,246,202,13,8,0,0,21.821'
Manchester City,Aymeric Laporte,50,27/05/1994,26,Francia,1.89,Defensa central,336,188,17,10,0,0,28.801'
Manchester City,Nathan Aké,35,18/02/1995,26,Países Bajos,1.8,Defensa central,229,145,17,12,0,0,18.873'
Manchester City,John Stones,30,28/05/1994,26,Inglaterra,1.88,Defensa central,295,199,12,3,0,0,22.897'
Manchester City,Eric García,20,09/01/2001,20,España,1.83,Defensa central,83,201,6,2,0,0,6.753'
Manchester City,Philippe Sandler,3,10/02/1997,24,Países Bajos,1.9,,0,0,0,0,0,0,0
Manchester City,Benjamin Mendy,22,17/07/1994,26,Francia,1.85,Lateral izquierdo,273,191,6,40,0,0,22.296'
Manchester City,Oleksandr Zinchenko,20,15/12/1996,24,Ucrania,1.75,Lateral izquierdo,155,209,5,25,0,0,10.902'
Manchester City,João Cancelo,50,27/05/1994,26,Portugal,1.82,Lateral derecho,274,181,11,42,0,0,20.665'
Manchester City,Kyle Walker,35,28/05/1990,30,Inglaterra,1.83,Lateral derecho,488,201,11,46,0,0,41.115'
Manchester City,Rodri,70,22/06/1996,24,España,1.91,Pivote,268,200,12,13,0,0,19.399'
Manchester City,Fernandinho,2.5,04/05/1985,35,Brasil,1.79,Pivote,631,218,77,77,0,0,49.624'
Manchester City,Phil Foden,70,28/05/2000,20,Inglaterra,1.71,Mediocentro,155,250,48,34,0,0,9.329'
Manchester City,Ilkay Gündogan,40,24/10/1990,30,Alemania,1.8,Mediocentro,452,207,88,53,0,0,32.870'
Manchester City,Kevin De Bruyne,100,28/06/1991,29,Bélgica,1.81,Mediocentro ofensivo,484,199,112,189,0,0,36.967'
Manchester City,Bernardo Silva,70,10/08/1994,26,Portugal,1.73,Mediocentro ofensivo,380,221,70,66,0,0,26.377'
Manchester City,Raheem Sterling,100,08/12/1994,26,Inglaterra,1.7,Extremo izquierdo,433,204,144,121,0,0,32.524'
Manchester City,Ferran Torres,50,29/02/2000,21,España,1.84,Extremo derecho,138,183,18,20,0,0,7.702'
Manchester City,Riyad Mahrez,42,21/02/1991,30,Argelia,1.79,Extremo derecho,381,183,94,85,0,0,26.586'
Manchester City,Gabriel Jesus,60,03/04/1997,24,Brasil,1.75,Delantero centro,237,229,102,39,0,0,15.069'
Manchester City,Sergio Agüero,25,02/06/1988,32,Argentina,1.73,Delantero centro,653,191,375,119,0,0,48.007'
Liverpool FC,Alisson,65,02/10/1992,28,Brasil,1.91,Portero,241,201,0,0,223,104,21.587'
Liverpool FC,Caoimhin Kelleher,2.5,23/11/1998,22,Irlanda,1.88,Portero,60,163,0,0,93,16,5.400'
Liverpool FC,Adrián,1.5,03/01/1987,34,España,1.9,Portero,253,150,0,0,352,76,22.702'
Liverpool FC,Virgil van Dijk,70,08/07/1991,29,Países Bajos,1.93,Defensa central,395,192,43,18,0,0,34.581'
Liverpool FC,Joe Gomez,35,23/05/1997,23,Inglaterra,1.88,Defensa central,154,206,1,5,0,0,11.632'
Liverpool FC,Ozan Kabak,25,25/03/2000,21,Turquía,1.86,Defensa central,86,112,6,1,0,0,6.952'
Liverpool FC,Joel Matip,25,08/08/1991,29,Camerún,1.95,Defensa central,422,179,40,22,0,0,33.700'
Liverpool FC,Rhys Williams,5,03/02/2001,20,Inglaterra,1.95,Defensa central,85,202,8,5,0,0,7.057'
Liverpool FC,Nathaniel Phillips,5,21/03/1997,24,Inglaterra,1.9,Defensa central,63,189,3,1,0,0,4.970'
Liverpool FC,Ben Davies,3,11/08/1995,25,Inglaterra,1.85,Defensa central,250,142,3,6,0,0,21.525'
Liverpool FC,Andrew Robertson,70,11/03/1994,27,Escocia,1.78,Lateral izquierdo,370,179,17,54,0,0,31.701'
Liverpool FC,Konstantinos Tsimikas,8,12/05/1996,24,Grecia,1.79,Lateral izquierdo,160,186,9,19,0,0,13.276'
Liverpool FC,Trent Alexander-Arnold,100,07/10/1998,22,Inglaterra,1.8,Lateral derecho,189,220,13,45,0,0,15.075'
Liverpool FC,Neco Williams,10,13/04/2001,19,Gales,1.83,Lateral derecho,97,166,3,12,0,0,7.597'
Liverpool FC,Fabinho,60,23/10/1993,27,Brasil,1.88,Pivote,377,197,36,30,0,0,30.900'
Liverpool FC,Naby Keïta,38,10/02/1995,26,Guinea,1.72,Mediocentro,251,198,48,39,0,0,17.246'
Liverpool FC,Georginio Wijnaldum,35,11/11/1990,30,Países Bajos,1.75,Mediocentro,559,187,116,56,0,0,43.789'
Liverpool FC,Thiago,35,11/04/1991,29,España,1.74,Mediocentro,410,226,45,57,0,0,28.308'
Liverpool FC,Jordan Henderson,22,17/06/1990,30,Inglaterra,1.87,Mediocentro,484,181,36,64,0,0,37.200'
Liverpool FC,Alex Oxlade-Chamberlain,20,15/08/1993,27,Inglaterra,1.75,Mediocentro,346,194,43,52,0,0,18.122'
Liverpool FC,James Milner,3,04/01/1986,35,Inglaterra,1.75,Mediocentro,763,177,85,130,0,0,51.827'
Liverpool FC,Curtis Jones,30,30/01/2001,20,Inglaterra,1.85,Mediocentro ofensivo,123,179,48,20,0,0,9.203'
Liverpool FC,Ben Woodburn,3,15/10/1999,21,Gales,1.74,Mediocentro ofensivo,98,183,18,18,0,0,6.456'
Liverpool FC,Sadio Mané,100,10/04/1992,28,Senegal,1.74,Extremo izquierdo,394,198,165,88,0,0,30.816'
Liverpool FC,Diogo Jota,40,04/12/1996,24,Portugal,1.78,Extremo izquierdo,239,182,83,41,0,0,16.552'
Liverpool FC,Mohamed Salah,110,15/06/1992,28,Egipto,1.75,Extremo derecho,445,191,198,98,0,0,33.294'
Liverpool FC,Xherdan Shaqiri,14,10/10/1991,29,Suiza,1.69,Extremo derecho,402,192,74,72,0,0,24.648'
Liverpool FC,Roberto Firmino,55,02/10/1991,29,Brasil,1.81,Delantero centro,474,173,141,103,0,0,35.159'
Liverpool FC,Divock Origi,16,18/04/1995,25,Bélgica,1.85,Delantero centro,284,171,59,23,0,0,13.560'
París Saint-Germain FC,Keylor Navas,10,15/12/1986,34,Costa Rica,1.85,Portero,399,191,0,0,385,146,35.873'
París Saint-Germain FC,Sergio Rico,8,01/09/1993,27,España,1.95,Portero,258,160,0,0,346,85,23.024'
París Saint-Germain FC,Alexandre Letellier,0.4,11/12/1990,30,Francia,1.93,Portero,87,126,0,0,112,20,7.920'
París Saint-Germain FC,Denis Franchi,0.25,22/10/2002,18,Italia,,Portero,27,93,0,0,63,2,2.416'
París Saint-Germain FC,Mathyas Randriamamy,0.15,23/04/2003,17,Madagascar,1.86,Portero,0,0,0,0,0,0,0
París Saint-Germain FC,Marquinhos,70,14/05/1994,26,Brasil,1.83,Defensa central,350,229,27,9,0,0,28.839'
París Saint-Germain FC,Presnel Kimpembe,40,13/08/1995,25,Francia,1.89,Defensa central,177,230,1,1,0,0,14.861'
París Saint-Germain FC,Thilo Kehrer,25,21/09/1996,24,Alemania,1.86,Defensa central,265,214,14,14,0,0,19.485'
París Saint-Germain FC,Abdou Diallo,25,04/05/1996,24,Senegal,1.87,Defensa central,178,188,7,6,0,0,14.145'
París Saint-Germain FC,Timothée Pembélé,4,09/09/2002,18,Francia,1.82,Defensa central,16,200,3,3,0,0,1.179'
París Saint-Germain FC,Juan Bernat,16,01/03/1993,28,España,1.7,Lateral izquierdo,287,202,20,27,0,0,21.121'
París Saint-Germain FC,Layvin Kurzawa,12,04/09/1992,28,Francia,1.82,Lateral izquierdo,244,217,22,31,0,0,18.540'
París Saint-Germain FC,Mitchel Bakker,10,20/06/2000,20,Países Bajos,1.85,Lateral izquierdo,136,214,4,12,0,0,10.162'
París Saint-Germain FC,Alessandro Florenzi,15,11/03/1991,30,Italia,1.73,Lateral derecho,439,184,72,35,0,0,31.402'
París Saint-Germain FC,Colin Dagba,12,06/09/1998,22,Francia,1.7,Lateral derecho,67,222,1,6,0,0,3.889'
París Saint-Germain FC,Danilo Pereira,24,09/09/1991,29,Portugal,1.88,Pivote,362,183,29,11,0,0,28.819'
París Saint-Germain FC,Leandro Paredes,20,29/06/1994,26,Argentina,1.8,Pivote,263,189,22,26,0,0,17.279'
París Saint-Germain FC,Idrissa Gueye,18,26/09/1989,31,Senegal,1.74,Pivote,390,163,14,15,0,0,29.690'
París Saint-Germain FC,Marco Verratti,60,05/11/1992,28,Italia,1.65,Mediocentro,420,223,11,69,0,0,29.098'
París Saint-Germain FC,Rafinha,15,12/02/1993,28,Brasil,1.74,Mediocentro,280,177,41,34,0,0,18.331'
París Saint-Germain FC,Ander Herrera,15,14/08/1989,31,España,1.82,Mediocentro,457,181,39,51,0,0,31.221'
París Saint-Germain FC,Kays Ruiz-Atil,3,26/08/2002,18,Francia,1.73,Mediocentro,19,179,1,3,0,0,973'
París Saint-Germain FC,Xavi Simons,0.5,21/04/2003,17,Países Bajos,1.68,Mediocentro,7,129,2,0,0,0,379'
París Saint-Germain FC,Julian Draxler,20,20/09/1993,27,Alemania,1.87,Mediocentro ofensivo,437,191,87,84,0,0,27.789'
París Saint-Germain FC,Édouard Michut,0.5,04/03/2003,18,Francia,1.78,Mediocentro ofensivo,3,300,0,0,0,0,63'
París Saint-Germain FC,Neymar,128,05/02/1992,29,Brasil,1.75,Extremo izquierdo,425,212,258,158,0,0,34.699'
París Saint-Germain FC,Ángel Di María,28,14/02/1988,33,Argentina,1.8,Extremo derecho,632,216,149,228,0,0,42.736'
París Saint-Germain FC,Pablo Sarabia,25,11/05/1992,28,España,1.74,Extremo derecho,415,160,93,74,0,0,26.677'
París Saint-Germain FC,Kylian Mbappé,180,20/12/1998,22,Francia,1.78,Delantero centro,224,228,150,77,0,0,15.960'
París Saint-Germain FC,Mauro Icardi,55,19/02/1993,28,Argentina,1.81,Delantero centro,344,172,192,42,0,0,25.918'
París Saint-Germain FC,Moise Kean,30,28/02/2000,21,Italia,1.83,Delantero centro,169,173,74,8,0,0,9.171'
Bayern Múnich,Manuel Neuer,18,27/03/1986,35,Alemania,1.93,Portero,684,219,0,0,563,318,61.800'
Bayern Múnich,Alexander Nübel,6.5,30/09/1996,24,Alemania,1.93,Portero,113,129,0,0,166,30,9.829'
Bayern Múnich,Ron-Thorben Hoffmann,0.6,04/04/1999,22,Alemania,1.92,Portero,120,187,0,0,149,38,10.710'
Bayern Múnich,David Alaba,55,24/06/1992,28,Austria,1.8,Defensa central,503,227,43,63,0,0,41.068'
Bayern Múnich,Niklas Süle,37,03/09/1995,25,Alemania,1.95,Defensa central,298,186,18,8,0,0,24.079'
Bayern Múnich,Tanguy Nianzou,11,07/06/2002,18,Francia,1.87,Defensa central,22,250,3,3,0,0,1.646'
Bayern Múnich,Jérôme Boateng,10,03/09/1988,32,Alemania,1.9,Defensa central,544,218,16,34,0,0,42.827'
Bayern Múnich,Bright Arrey-Mbi,1,26/03/2003,18,Alemania,1.87,Defensa central,47,145,3,0,0,0,3.886'
Bayern Múnich,Alphonso Davies,75,02/11/2000,20,Canadá,1.83,Lateral izquierdo,176,194,19,27,0,0,11.509'
Bayern Múnich,Lucas Hernández,45,14/02/1996,25,Francia,1.84,Lateral izquierdo,201,218,4,10,0,0,14.760'
Bayern Múnich,Benjamin Pavard,35,28/03/1996,25,Francia,1.86,Lateral derecho,188,186,7,10,0,0,15.464'
Bayern Múnich,Bouna Sarr,5.5,31/01/1992,29,Francia,1.77,Lateral derecho,297,161,16,23,0,0,17.593'
Bayern Múnich,Joshua Kimmich,90,08/02/1995,26,Alemania,1.77,Pivote,366,232,40,86,0,0,28.025'
Bayern Múnich,Marc Roca,12,26/11/1996,24,España,1.84,Pivote,182,146,9,6,0,0,13.519'
Bayern Múnich,Javi Martínez,6.5,02/09/1988,32,España,1.89,Pivote,513,196,39,17,0,0,37.830'
Bayern Múnich,Leon Goretzka,70,06/02/1995,26,Alemania,1.89,Mediocentro,337,191,76,56,0,0,24.432'
Bayern Múnich,Corentin Tolisso,20,03/08/1994,26,Francia,1.81,Mediocentro,254,200,47,29,0,0,17.870'
Bayern Múnich,Tiago Dantas,4,24/12/2000,20,Portugal,1.7,Mediocentro,75,144,11,8,0,0,5.032'
Bayern Múnich,Jamal Musiala,24,26/02/2003,18,Alemania,1.8,Mediocentro ofensivo,64,236,12,3,0,0,2.955'
Bayern Múnich,Kingsley Coman,65,13/06/1996,24,Francia,1.8,Extremo izquierdo,223,235,41,50,0,0,13.024'
Bayern Múnich,Douglas Costa,12,14/09/1990,30,Brasil,1.72,Extremo izquierdo,432,225,65,97,0,0,24.538'
Bayern Múnich,Serge Gnabry,70,14/07/1995,25,Alemania,1.76,Extremo derecho,253,207,87,50,0,0,16.820'
Bayern Múnich,Leroy Sané,70,11/01/1996,25,Alemania,1.83,Extremo derecho,311,214,80,84,0,0,19.650'
Bayern Múnich,Thomas Müller,35,13/09/1989,31,Alemania,1.85,Mediapunta,660,230,254,216,0,0,49.836'
Bayern Múnich,Robert Lewandowski,60,21/08/1988,32,Polonia,1.85,Delantero centro,626,215,453,127,0,0,51.327'
Bayern Múnich,Eric Maxim Choupo-Moting,3.5,23/03/1989,32,Camerún,1.91,Delantero centro,410,155,79,37,0,0,24.147'
FC Barcelona,Marc-André ter Stegen,75,30/04/1992,28,Alemania,1.87,Portero,468,207,0,0,446,189,42.049'
FC Barcelona,Neto,10,19/07/1989,31,Brasil,1.9,Portero,255,177,0,0,264,90,22.958'
FC Barcelona,Iñaki Peña,2.5,02/03/1999,22,España,1.84,Portero,60,187,0,0,50,26,5.430'
FC Barcelona,Ronald Araújo,25,07/03/1999,22,Uruguay,1.88,Defensa central,119,170,13,6,0,0,9.585'
FC Barcelona,Clément Lenglet,25,17/06/1995,25,Francia,1.86,Defensa central,281,192,13,5,0,0,23.253'
FC Barcelona,Gerard Piqué,12,02/02/1987,34,España,1.94,Defensa central,609,226,55,14,0,0,51.003'
FC Barcelona,Samuel Umtiti,10,14/11/1993,27,Francia,1.82,Defensa central,299,200,7,4,0,0,25.400'
FC Barcelona,Óscar Mingueza,10,13/05/1999,21,España,1.84,Defensa central,85,207,1,6,0,0,6.076'
FC Barcelona,Jordi Alba,25,21/03/1989,32,España,1.7,Lateral izquierdo,520,208,32,86,0,0,40.662'
FC Barcelona,Júnior Firpo,10,22/08/1996,24,España,1.84,Lateral izquierdo,127,173,9,10,0,0,9.237'
FC Barcelona,Sergiño Dest,25,03/11/2000,20,Estados Unidos,1.75,Lateral derecho,145,201,11,17,0,0,10.659'
FC Barcelona,Sergi Roberto,25,07/02/1992,29,España,1.78,Lateral derecho,402,210,17,38,0,0,27.864'
FC Barcelona,Moussa Wagué,4,04/10/1998,22,Senegal,1.77,Lateral derecho,86,120,3,10,0,0,6.048'
FC Barcelona,Sergio Busquets,10,16/07/1988,32,España,1.89,Pivote,621,233,15,39,0,0,48.363'
FC Barcelona,Matheus Fernandes,2,30/06/1998,22,Brasil,1.83,Pivote,91,152,3,4,0,0,5.919'
FC Barcelona,Frenkie de Jong,80,12/05/1997,23,Países Bajos,1.8,Mediocentro,251,198,28,36,0,0,19.678'
FC Barcelona,Miralem Pjani?,28,02/04/1990,31,Bosnia y Herzegovina,1.78,Mediocentro,550,189,73,108,0,0,38.114'
FC Barcelona,Riqui Puig,18,13/08/1999,21,España,1.69,Mediocentro,102,183,6,16,0,0,6.489'
FC Barcelona,Ilaix Moriba,10,19/01/2003,18,España,1.85,Mediocentro,39,195,4,6,0,0,2.195'
FC Barcelona,Pedri,70,25/11/2002,18,España,1.74,Mediocentro ofensivo,80,186,7,13,0,0,5.784'
FC Barcelona,Philippe Coutinho,40,12/06/1992,28,Brasil,1.72,Mediocentro ofensivo,411,189,99,75,0,0,27.132'
FC Barcelona,Ansu Fati,80,31/10/2002,18,España,1.78,Extremo izquierdo,52,188,17,8,0,0,2.547'
FC Barcelona,Konrad de la Fuente,2.5,16/07/2001,19,Estados Unidos,1.76,Extremo izquierdo,40,183,9,6,0,0,2.902'
FC Barcelona,Lionel Messi,80,24/06/1987,33,Argentina,1.7,Extremo derecho,769,228,663,291,0,0,62.697'
FC Barcelona,Ousmane Dembélé,50,15/05/1997,23,Francia,1.78,Extremo derecho,189,203,51,47,0,0,12.074'
FC Barcelona,Trincão,25,29/12/1999,21,Portugal,1.84,Extremo derecho,131,163,18,21,0,0,6.088'
FC Barcelona,Antoine Griezmann,60,21/03/1991,30,Francia,1.76,Mediapunta,548,182,214,83,0,0,41.919'
FC Barcelona,Martin Braithwaite,9,05/06/1991,29,Dinamarca,1.77,Delantero centro,396,144,93,42,0,0,27.698'
Chelsea FC,Edouard Mendy,25,01/03/1992,29,Senegal,1.96,Portero,160,176,0,0,154,71,14.320'
Chelsea FC,Kepa,13,03/10/1994,26,España,1.86,Portero,268,164,0,0,294,90,24.124'
Chelsea FC,Willy Caballero,0.3,28/09/1981,39,Argentina,1.86,Portero,381,155,0,0,440,134,33.710'
Chelsea FC,Kurt Zouma,32,27/10/1994,26,Francia,1.9,Defensa central,294,166,16,9,0,0,22.808'
Chelsea FC,Andreas Christensen,28,10/04/1996,24,Dinamarca,1.88,Defensa central,266,182,11,9,0,0,22.604'
Chelsea FC,Antonio Rüdiger,25,03/03/1993,28,Alemania,1.9,Defensa central,359,170,18,8,0,0,29.648'
Chelsea FC,Thiago Silva,3.5,22/09/1984,36,Brasil,1.83,Defensa central,536,211,34,11,0,0,46.440'
Chelsea FC,Ben Chilwell,50,21/12/1996,24,Inglaterra,1.78,Lateral izquierdo,192,148,8,22,0,0,15.749'
Chelsea FC,Emerson,15,03/08/1994,26,Italia,1.81,Lateral izquierdo,144,194,5,9,0,0,9.455'
Chelsea FC,Marcos Alonso,13,28/12/1990,30,España,1.88,Lateral izquierdo,363,179,36,28,0,0,30.229'
Chelsea FC,Reece James,40,08/12/1999,21,Inglaterra,1.82,Lateral derecho,194,180,12,25,0,0,15.208'
Chelsea FC,César Azpilicueta,17,28/08/1989,31,España,1.78,Lateral derecho,589,179,16,60,0,0,50.567'
Chelsea FC,Jorginho,45,20/12/1991,29,Italia,1.8,Pivote,399,197,34,25,0,0,31.674'
Chelsea FC,N'Golo Kanté,55,29/03/1991,30,Francia,1.68,Mediocentro,366,180,21,23,0,0,29.838'
Chelsea FC,Mateo Kovacic,45,06/05/1994,26,Croacia,1.77,Mediocentro,405,190,20,37,0,0,24.380'
Chelsea FC,Billy Gilmour,7,11/06/2001,19,Escocia,1.7,Mediocentro,98,208,20,14,0,0,7.233'
Chelsea FC,Kai Havertz,70,11/06/1999,21,Alemania,1.89,Mediocentro ofensivo,248,187,79,42,0,0,18.140'
Chelsea FC,Mason Mount,60,10/01/1999,22,Inglaterra,1.78,Mediocentro ofensivo,222,173,46,37,0,0,17.058'
Chelsea FC,Charly Musonda Jr.,1,15/10/1996,24,Bélgica,1.73,,0,0,0,0,0,0,0
Chelsea FC,Callum Hudson-Odoi,35,07/11/2000,20,Inglaterra,1.77,Extremo izquierdo,154,208,44,33,0,0,9.334'
Chelsea FC,Christian Pulisic,50,18/09/1998,22,Estados Unidos,1.72,Extremo derecho,215,193,47,51,0,0,13.487'
Chelsea FC,Hakim Ziyech,40,19/03/1993,28,Marruecos,1.81,Extremo derecho,369,180,115,128,0,0,29.853'
Chelsea FC,Timo Werner,65,06/03/1996,25,Alemania,1.81,Delantero centro,364,165,177,74,0,0,25.648'
Chelsea FC,Tammy Abraham,40,02/10/1997,23,Inglaterra,1.9,Delantero centro,264,163,125,32,0,0,18.121'
Chelsea FC,Olivier Giroud,5,30/09/1986,34,Francia,1.93,Delantero centro,543,181,221,81,0,0,35.277'
Atlético de Madrid,Jan Oblak,90,07/01/1993,28,Eslovenia,1.88,Portero,405,187,0,0,314,199,36.500'
Atlético de Madrid,Ivo Grbic,7,18/01/1996,25,Croacia,1.95,Portero,103,158,0,0,107,31,9.224'
Atlético de Madrid,José María Giménez,60,20/01/1995,26,Uruguay,1.85,Defensa central,228,201,9,8,0,0,18.252'
Atlético de Madrid,Mario Hermoso,35,18/06/1995,25,España,1.85,Defensa central,184,160,7,7,0,0,15.627'
Atlético de Madrid,Stefan Savic,25,08/01/1991,30,Montenegro,1.87,Defensa central,377,189,9,7,0,0,31.691'
Atlético de Madrid,Felipe,15,16/05/1989,31,Brasil,1.9,Defensa central,311,199,17,9,0,0,26.548'
Atlético de Madrid,Renan Lodi,30,08/04/1998,23,Brasil,1.78,Lateral izquierdo,119,173,5,13,0,0,8.839'
Atlético de Madrid,Kieran Trippier,20,19/09/1990,30,Inglaterra,1.73,Lateral derecho,415,161,10,78,0,0,35.499'
Atlético de Madrid,Sime Vrsaljko,8,10/01/1992,29,Croacia,1.81,Lateral derecho,278,188,3,36,0,0,22.217'
Atlético de Madrid,Lucas Torreira,22,11/02/1996,25,Uruguay,1.66,Pivote,250,168,18,9,0,0,17.023'
Atlético de Madrid,Marcos Llorente,70,30/01/1995,26,España,1.84,Mediocentro,220,187,20,22,0,0,15.944'
Atlético de Madrid,Koke,60,08/01/1992,29,España,1.76,Mediocentro,559,193,53,105,0,0,43.660'
Atlético de Madrid,Saúl Ñíguez,55,21/11/1994,26,España,1.84,Mediocentro,435,181,53,19,0,0,32.570'
Atlético de Madrid,Geoffrey Kondogbia,15,15/02/1993,28,República Centroafricana,1.88,Mediocentro,323,162,14,17,0,0,22.692'
Atlético de Madrid,Héctor Herrera,8,19/04/1990,30,México,1.8,Mediocentro,353,196,38,40,0,0,25.415'
Atlético de Madrid,Thomas Lemar,25,12/11/1995,25,Francia,1.71,Mediocentro ofensivo,267,191,28,50,0,0,15.580'
Atlético de Madrid,Yannick Carrasco,35,04/09/1993,27,Bélgica,1.81,Extremo izquierdo,321,189,71,67,0,0,21.515'
Atlético de Madrid,Vitolo,8,02/11/1989,31,España,1.85,Extremo izquierdo,397,164,66,59,0,0,27.178'
Atlético de Madrid,Ángel Correa,40,09/03/1995,26,Argentina,1.71,Extremo derecho,329,193,53,62,0,0,18.623'
Atlético de Madrid,João Félix,80,10/11/1999,21,Portugal,1.8,Mediapunta,156,186,53,25,0,0,10.467'
Atlético de Madrid,Moussa Dembélé,25,12/07/1996,24,Francia,1.83,Delantero centro,286,173,127,41,0,0,18.590'
Atlético de Madrid,Luis Suárez,15,24/01/1987,34,Uruguay,1.82,Delantero centro,648,206,422,236,0,0,54.076'
Real Madrid CF,Thibaut Courtois,75,11/05/1992,28,Bélgica,1.99,Portero,470,201,0,0,442,194,42.251'
Real Madrid CF,Andriy Lunin,3,11/02/1999,22,Ucrania,1.91,Portero,91,140,0,0,107,30,8.224'
Real Madrid CF,Raphaël Varane,70,25/04/1993,27,Francia,1.91,Defensa central,379,210,19,7,0,0,31.539'
Real Madrid CF,Éder Militão,30,18/01/1998,23,Brasil,1.86,Defensa central,113,200,9,5,0,0,9.339'
Real Madrid CF,Sergio Ramos,14,30/03/1986,35,España,1.84,Defensa central,715,210,104,40,0,0,62.146'
Real Madrid CF,Nacho Fernández,10,18/01/1990,31,España,1.8,Defensa central,333,214,15,8,0,0,26.254'
